title,year,duration,rating
179. Gran Torino,2008,1h 56m,"8,1"
180. Million Dollar Baby,2004,2h 12m,"8,1"
181. Mon voisin Totoro,1988,1h 26m,"8,1"
182. Mad Max: Fury Road,2015,2h,"8,1"
183. Ben-Hur,1959,3h 32m,"8,1"
184. Spider-Man: No Way Home,2021,2h 28m,"8,2"
185. Barry Lyndon,1975,3h 5m,"8,1"
186. Les Enfants du ciel,1997,1h 29m,"8,2"
187. Le Cercle des poètes disparus,1989,2h 8m,"8,1"
188. 12 Years a Slave,2013,2h 14m,"8,1"
189. Before Sunrise,1995,1h 41m,"8,1"
190. The Grand Budapest hotel,2014,1h 39m,"8,1"
191. Blade Runner,1982,1h 57m,"8,1"
192. Tu ne tueras point,2016,2h 19m,"8,1"
193. Gone Girl,2014,2h 29m,"8,1"
194. Memories of Murder,2003,2h 11m,"8,1"
195. Ratatouille,2007,1h 51m,"8,1"
196. Au nom du père,1993,2h 13m,"8,1"
197. Monstres & Cie,2001,1h 32m,"8,1"
198. La Ruée vers l'or,1925,1h 35m,"8,1"
199. Dragons,2010,1h 38m,"8,1"
200. Les Nouveaux Sauvages,2014,2h 2m,"8,1"
201. Je suis toujours là,2024,2h 17m,"8,3"
202. Sherlock Junior,1924,45m,"8,2"
203. Les Dents de la mer,1975,2h 4m,"8,1"
204. Mary et Max.,2009,1h 32m,"8,1"
205. Voyage au bout de l'enfer,1978,3h 3m,"8,1"
206. Le Mécano de la 'Général',1926,1h 18m,"8,1"
207. Le Mans '66,2019,2h 32m,"8,1"
208. Le Salaire de la peur,1953,2h 36m,"8,1"
209. Sur les quais...,1954,1h 48m,"8,1"
210. Mr. Smith au sénat,1939,2h 9m,"8,1"
211. Les Fraises sauvages,1957,1h 32m,"8,1"
212. Logan,2017,2h 17m,"8,1"
213. Rocky,1976,2h,"8,1"
214. Le Troisième Homme,1949,1h 44m,"8,1"
215. Voyage à Tokyo,1953,2h 17m,"8,1"
216. Maharaja,2024,2h 21m, (67 k)
217. The Big Lebowski,1998,1h 57m,"8,1"
218. Spotlight,2015,2h 9m,"8,1"
219. Terminator,1984,1h 47m,"8,1"
220. Le Septième Sceau,1957,1h 36m,"8,1"
221. Room,2015,1h 58m,"8,1"
222. Pirates des Caraïbes : La Malédiction du Black Pearl,2003,2h 23m,"8,1"
223. Jai Bhim,2021,2h 44m,"8,7"
224. La Haine,1995,1h 38m,"8,1"
225. Hôtel Rwanda,2004,2h 1m,"8,1"
226. Platoon,1986,2h,"8,1"
227. Les Plus Belles Années de notre vie,1946,2h 50m,"8,1"
228. Before Sunset,2004,1h 20m,"8,1"
229. L'Exorciste,1973,2h 2m,"8,1"
230. La Passion de Jeanne d'Arc,1928,1h 50m,"8,1"
231. Le Magicien d'Oz,1939,1h 42m,"8,1"
232. La Mélodie du bonheur,1965,2h 52m,"8,1"
233. Les Indestructibles,2004,1h 55m,"8,0"
234. Rush,2013,2h 3m,"8,1"
235. Hatchi,2009,1h 33m,"8,1"
236. Stand by Me,1986,1h 29m,"8,1"
237. Mon père et mon fils,2005,1h 52m,"8,2"
238. Network : Main basse sur la TV,1976,2h 1m,"8,1"
239. Mademoiselle,2016,2h 25m,"8,1"
240. Le Géant de fer,1999,1h 26m,"8,1"
241. Jeu dangereux,1942,1h 39m,"8,1"
242. La Bataille d'Alger,1966,2h 1m,"8,1"
243. Silent Voice,2016,2h 10m,"8,1"
244. Les Raisins de la colère,1940,2h 9m,"8,1"
245. Into the Wild,2007,2h 28m,"8,0"
246. Un jour sans fin,1993,1h 41m,"8,0"
247. La Couleur des sentiments,2011,2h 26m,"8,1"
248. Amours chiennes,2000,2h 34m,"8,0"
249. Kimetsu no Yaiba: Tsuzumi Yashiki Hen,2021,1h 27m, (32 k)
250. Rebecca,1940,2h 10m,"8,1"
